item,Title,version,header,avoid,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Escape of Water,Escape of Water II,unambiguous_uncovered,"Miranda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage. However, the insurance company denies Miranda's claim, arguing that the damage is not covered. ",female,glass bowl not an appliance,flow of water ,definition 
Escape of Water,Escape of Water II,unambiguous_covered,"Miranda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage. However, the insurance company denies Miranda's claim, arguing that the damage is not covered. ",female,washing machine definitely an appliance,flow of water ,definition 
Escape of Water,Escape of Water II,controversial,"Miranda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage. However, the insurance company denies Miranda's claim, arguing that the damage is not covered. ",female,water cooler maybe an appliance,flow of water ,definition 
Escape of Water,Escape of Water III,unambiguous_uncovered,"Belinda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage. However, the insurance company denies Belinda's claim, arguing that the damage is not covered. ",female,paint definitely not water,internal source ,definition 
Escape of Water,Escape of Water III,unambiguous_covered,"Belinda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage. However, the insurance company denies Belinda's claim, arguing that the damage is not covered. ",female,definitely water,internal source ,definition 
Escape of Water,Escape of Water III,controversial,"Belinda's homeowner's insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",FALSE,"Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage. However, the insurance company denies Belinda's claim, arguing that the damage is not covered. ",female,tomato juice maybe not water,internal source ,definition 
Fire,Fire,unambiguous_uncovered,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occuring fire.""</b> ",FALSE,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage. However, the insurance company denies Fatema's claim, arguing that the damage is not covered. ",female,not naturally occuring,naturally occuring fire,definition 
Fire,Fire,unambiguous_covered,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occuring fire.""</b> ",FALSE,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage. However, the insurance company denies Fatema's claim, arguing that the damage is not covered. ",female,yes naturally occuring ,naturally occuring fire,definition 
Fire,Fire,controversial,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occuring fire.""</b> ",FALSE,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage. However, the insurance company denies Fatema's claim, arguing that the damage is not covered. ",female,maybe naturally occuring ,naturally occuring fire,definition 
Flooding,Flood I,unambiguous_uncovered,"Charlotte has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",FALSE,"Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. However, the insurance company denies Charlotte's claim, arguing that the damage is not covered. ",female,not outside the building,outside the building,definition 
Flooding,Flood I,unambiguous_covered,"Charlotte has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",FALSE,"Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. However, the insurance company denies Charlotte's claim, arguing that the damage is not covered. ",female,definitely outside the building,outside the building,definition 
Flooding,Flood I,controversial,"Charlotte has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",FALSE,"Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. However, the insurance company denies Charlotte's claim, arguing that the damage is not covered. ",female,maybe outside the building,outside the building,definition 
Flooding,Flood II,unambiguous_uncovered,"Rebecca has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>",FALSE,"Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of several years, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. However, the insurance company denies Rebecca's claim, arguing that the damage is not covered.",female,not rapid,rapid build-up,definition 
Flooding,Flood II,unambiguous_covered,"Rebecca has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>",FALSE,"Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. However, the insurance company denies Rebecca's claim, arguing that the damage is not covered.",female,yes rapid,rapid build-up,definition 
Flooding,Flood II,controversial,"Rebecca has insurance that covers ""Flooding"" to her building, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>",FALSE,"Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of about a week, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. However, the insurance company denies Rebecca's claim, arguing that the damage is not covered.",female,maybe rapid,rapid build-up,definition 
Garden Plants,Garden Plants I,unambiguous_uncovered,"Genie has insurance that covers ""Garden Plants"" defined as <b>""damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>",FALSE,"Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants. However, the insurance company denies Genie's claim, arguing that the damage is not covered.",female,no political disturbance ,political disturbance ,definition 
Garden Plants,Garden Plants I,unambiguous_covered,"Genie has insurance that covers ""Garden Plants"" defined as <b>""damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>",FALSE,"Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants. However, the insurance company denies Genie's claim, arguing that the damage is not covered.",female,yes political disturbance,political disturbance ,definition 
Garden Plants,Garden Plants I,controversial,"Genie has insurance that covers ""Garden Plants"" defined as <b>""damage to plants, bushes, shrubs and trees in the open within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>",FALSE,"Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie is unable to find the fertilizer within driving distance from her home or online. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants. However, the insurance company denies Genie's claim, arguing that the damage is not covered.",female,maybe political distrubance,political disturbance ,definition 
General Damages and Special Damages,General Damages and Special Damages,unambiguous_uncovered,"Gavin's insurance policy includes coverage for ""General Damages and Special Damages"" defined as <b>""medical costs and missed employment due to injuries that occur under regular working conditions or injuries incurred through conditions of consistent employment.""</b>",FALSE,"Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. However, the insurance company denies Gavin's claim, arguing that the loss is not covered.  ",male,not reg working conditions,regular working conditions,definition 
General Damages and Special Damages,General Damages and Special Damages,unambiguous_covered,"Gavin's insurance policy includes coverage for ""General Damages and Special Damages"" defined as <b>""medical costs and missed employment due to injuries that occur under regular working conditions or injuries incurred through conditions of consistent employment.""</b>",FALSE,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. However, the insurance company denies Gavin's claim, arguing that the loss is not covered.  ",male,yes reg working conditions,regular working conditions,definition 
General Damages and Special Damages,General Damages and Special Damages,controversial,"Gavin's insurance policy includes coverage for ""General Damages and Special Damages"" defined as <b>""medical costs and missed employment due to injuries that occur under regular working conditions or injuries incurred through conditions of consistent employment.""</b>",FALSE,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. However, the insurance company denies Gavin's claim, arguing that the loss is not covered.  ",male,maybe reg working conditions,regular working conditions,definition 
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,unambiguous_uncovered,"Beth has insurance that covers ""Malicious Acts or Vandalism"" defined as <b>""costs associated with repairing deliberate desctruction or damage to the policyholder's property made by an adverse third party.""</b>",FALSE,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered drawings made with permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages. However, the insurance company denies Beth's claim, arguing that the damages are not covered. ",female,not a third party ,third party ,definition
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,unambiguous_covered,"Beth has insurance that covers ""Malicious Acts or Vandalism"" defined as <b>""costs associated with repairing deliberate desctruction or damage to the policyholder's property made by an adverse third party.""</b>",FALSE,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day,  she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages. However, the insurance company denies Beth's claim, arguing that the damages are not covered. ",female,yes third party ,third party ,definition
Malicious Acts or Vandalism,Malicious Acts or Vandalism II,controversial,"Beth has insurance that covers ""Malicious Acts or Vandalism"" defined as <b>""costs associated with repairing deliberate desctruction or damage to the policyholder's property made by an adverse third party.""</b>",FALSE,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that her house is covered in egg shells. She reviews her home surveillance footage and sees that her estranged son, who is technically still a beneficiary of Beth's insurance policy, has egged her house.  Beth files a claim with her insurance company for the damages. However, the insurance company denies Beth's claim, arguing that the damages are not covered. ",female,maybe third party ,third party,definition
Personal Accident,Personal Accident I,unambiguous_uncovered,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively quick drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, once she returns to her car and is placing her groceries in the trunk, she injures her wrist, causing her hand to become unusable. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered. ",female,not during allowed window,traveling in,definition
Personal Accident,Personal Accident I,unambiguous_covered,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she is reentering her vehicle, a dodge ram hits her door and injures her hand. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered. ",female,yes during allowed window ,traveling in ,definition
Personal Accident,Personal Accident I,controversial,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",FALSE,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she exits the store, she spots a car deliberately crashing into parked cars on the adjacent street. As she is getting back into her car to attempt to drive off, the individual collides into Gwen's car, injuring her arm. Gwen files a police report who can attest to the claim. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered. ",female,maybe during allowed window,traveling in ,definition
Personal Accidents,Personal Accident II,unambiguous_uncovered,"Fred's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United States and this injury alone results within three calendar months in permanent and total loss of sight in one or both eyes.""</b>",FALSE,"One day, Fred unfortunately learns that he suffers from a condition that will deteriorate his eyesight in his left eye. Understanding his vision will be gone soon, Fred devises a plan where he will get into a minor accident and file a personal injury claim to gain monetary compensation for his ""lost eyesight."" Fred files a claim with his insurance company for the loss. However, the insurance company denies Fred's claim, arguing that the loss is not covered. ",male,not this accident alone,this accident alone ,definition
Personal Accidents,Personal Accident II,unambiguous_covered,"Fred's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United States and this injury alone results within three calendar months in permanent and total loss of sight in one or both eyes.""</b>",FALSE,"One morning, Fred is driving behind a semi truck that is transporting gravel. The semi truck loses control and Fred ends up colliding with the truck. The gravel slides out of the truck, crushing Fred's windshield and spilling into his car. The gravel severely damages Fred's eyes. At the hospital, Fred unfortuantely learns that he has permanently lost his eyesight in his right eye, and has temporary blindness in his left eye. Fred files a claim with his insurance company for the loss. However, the insurance company denies Fred's claim, arguing that the loss is not covered. ",male,yes this accident alone,this accident alone ,definition
Personal Accidents,Personal Accident II,controversial,"Fred's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United States and this injury alone results within three calendar months in permanent and total loss of sight in one or both eyes.""</b>",FALSE,"One morning, Fred is at a supermarket one day picking up some groceries. He has a truck, and tries to step onto the truck bed to load the groceries. Unfortunately, Fred suffers from vertigo which causes him to slip and fall on an icy patch of the truck bed and he hits his head. He becomes temporarily blind in his right eye. At the hospital, they inform him that it is unlikely he will gain full use of his right eye again. Fred files a claim with his insurance company for the damages. However, the insurance company denies Fred's claim, arguing that the loss is not covered. ",male,maybe this accident alone,this accident alone  ,definition
Public Liability Property Damages,Public Liability Property Damages,unambiguous_uncovered,"Dave has insurance that covers ""Public Liability Property Damages"", defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>",FALSE,"One day, Dave is exiting the parking lot of a restaurant. Because the car's brake warning light has been on for months and his brakes have felt very unresponsive, he knows his car is in need of service. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. However, the insurance company denies Dave's claim, arguing that the losses are not covered.",male,neglecting brake light = not reasonable steps,reasonable steps,definition
Public Liability Property Damages,Public Liability Property Damages,unambiguous_covered,"Dave has insurance that covers ""Public Liability Property Damages"", defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>",FALSE,"One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he has just brought his car to a mechanic for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. However, the insurance company denies Dave's claim, arguing that the losses are not covered.",male,regular maintenance = reasonable steps,reasonable steps,definition
Public Liability Property Damages,Public Liability Property Damages,controversial,"Dave has insurance that covers ""Public Liability Property Damages"", defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>",FALSE,"One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he knows his car is a month overdue for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. However, the insurance company denies Dave's claim, arguing that the losses are not covered.",male,missing a regular service - unreasonable?,reasonable steps,definition
Wind Damage,Wind Damage,unambiguous_uncovered,"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>",FALSE,"Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake while Tom is working on his roof, but it's a loud and surprising ring from his cell phone that causes him to drop his heavy toolbox and thereby damage the roof. Tom files a claim with his insurance company for the damage. However, the insurance company denies Tom's claim, arguing that the damage is not covered.",male,damage from surprise cell phone call ,"causative ""from""",definition
