item,version,header,continuation
Vehicle Fire and Theft ,unambiguous_uncovered,"Gisele’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","In the morning, Gisele is driving to work and sees a brand new Mercedes G-Wagon in a dealer lot. She has wanted one her whole life, but doesn’t necessarily have the money to buy one at the moment. She realizes that her insurance can supply her with a new car if it is subject to fire or theft. Later that day, she decides to stage the theft of her Aston Martin SUV and creates a story to have the insurance company supply her a new vehicle. When she files a claim, the insurance company begins an investigation, and later denies her claim."
Vehicle Fire and Theft ,unambigous_covered,"Gisele’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Gisele is traveling to work in her newly registered Aston Martin. She arrives at work and heads to her office. When she returns to the parking lot to leave for lunch, she notices her car missing, which is corroborated by a police report and surveillance footage showing a masked individual breaking into her car and driving off. Not wanting to pay out of pocket, Gisele remembers she has insurance for vehicle theft. When she calls his insurer, however, the insurer disputes her claim, claiming that the damage she experienced is uncovered."
Vehicle Fire and Theft ,controversial,"Gisele’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.”","Gisele is traveling to work in her newly registered Aston Martin. She starts out from her home and begins her commute on a relatively calm morning with good weather. Before work, she goes to the gym and brings her Beats headphones with her. As she looks down at her watch, she notices she is dangerously close to being late. She arrives at work, leaves the headphones in the car, and heads to her office. When she returns to the parking lot to leave for lunch, she notices her headphones missing, which is corroborated by a police report and surveillance footage showing a masked individual breaking into her car and fleeing with several items in hand. Not wanting to pay out of pocket, Gisele remembers she has insurance for vehicle theft which covers audio equipment. When she calls his insurer, however, the insurer disputes her claim, claiming that the damage she experienced is uncovered."
Personal Accident ,unambiguous_uncovered,"Gwen’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”","Gwen travels in her SUV to the grocery store. She has a relatively quick drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, once she returns to her car and places her hand on the gear shift to begin to drive away, she injures her wrist, causing her hand to become unusable. She figures that because the incident occured in her car on her way home from the store, she can use her insurance coverage for a personal accident to cover the medical cost. When she calls her insurance company, they inform her that she is not covered."
Personal Accident ,unambigous_covered,"Gwen’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”"," Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she is reentering her vehicle, a dodge ram hits her door and injures her hand. Gwen figures that she can use her insurance coverage for a personal accident to cover the medical cost. When she calls her insurance company, they inform her that she is not covered."
Personal Accident ,controversial,"Gwen’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”","Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she exits the store, she spots a car deliberately crashing into parked cars on the adjacent street. She gets back into her car and attempts to drive off, but the individual collides into Gwen’s car, injuring her. Gwen files a police report who can attest to the claim. She understands that she can use her insurance coverage for a personal accident to cover the medical cost. When she calls her insurance company, they inform her that she is not covered since the act was deliberate by the suspect. "
General Damages and Special Damages,unambiguous_uncovered,Gavin’s insurance policy includes coverage for General Damages and Special Damages due to injury. ,"Gavin works as an A/C repair technician in a small town. Gavin’s work regularly requires him to lift relatively heavy equipment into homes and other buildings to repair. One weekend, Gavin is off from work and after a few drinks, decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn’t need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. Unfortunately, Gavin is injured when he loses his grip and falls to the ground. He figures that since he has insurance, he can claim personal damage to cover the medical cost. When he calls the insurance company, they inform him that he is not covered."
General Damages and Special Damages,unambigous_covered,Gavin’s insurance policy includes coverage for General Damages and Special Damages due to injury. ,"Gavin works as an A/C repair technician in a small town. Gavin’s work regularly requires him to lift relatively heavy equipment into homes and other buildings to repair. One afternoon, Gavin is called to repair an A/C unit in an office. When he examines the unit, he recommends the compressor be replaced. Unfortunately, when Gavin is carrying the compressor down the stairs, he loses his balance and falls down. Gavin is injured and subsequently has to miss time at work. He figures that since he has insurance, he can claim personal damage to cover the medical cost and potentially wages for the time he has to miss. He is paid on a consistent basis at a consistent amount, which is evident by his past paychecks. When he calls the insurance company, they inform him that he is not covered."
General Damages and Special Damages,controversial,Gavin’s insurance policy includes coverage for General Damages and Special Damages due to injury. ,"Gavin works as an A/C repair technician in a small town. Gavin’s work regularly requires him to lift relatively heavy equipment into homes and other buildings to repair. One afternoon, Gavin is off from work and decides to help his neighbor repair their roof that was damaged in a storm. He reaches their roof via a ladder and assesses what materials and tools he needs to finish the job. Unfortunately, when Gavin is climbing the ladder, he loses his balance and falls down. Gavin is injured and subsequently has to miss time at work. He figures that since he has insurance, he can claim personal damage to cover the medical cost and potentially wages for the time he has to miss. He is paid on a consistent basis at a consistent amount, which is evident by his past paychecks. When he calls the insurance company, they inform him that he is not covered."
Vehicle Damage II ,unambiguous_uncovered,"John’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","John is about to head out to work for the day. He realizes that on his fenders, there appears to be rust damage. Although the damage is mostly cosmetic and his car is still drivable, he would like the damage to be repaired. Not wanting to pay out of pocket, John remembers he has insurance for damages to her car. However, when he calls his insurer, the insurer disputes the claim, claiming that the damage he experienced is uncovered."
Vehicle Damage II ,unambigous_covered,"John’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","John is about to head out for work when realizes he needs to clean out his car since he’ll be taking some colleagues to lunch. He removes the car seat and places it on the roof and continues cleaning. He then forgets about the car seat and drives off. The car seat is severely damaged, but he remembers that he is insured for car seats. When he calls his insurer, however, the insurer disputes the claim, claiming that the damage he experienced is uncovered."
Vehicle Damage II ,controversial,"John’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","John installs a large external speaker on the trunk of his car to play music at a car show. On the way to work, he is involved in a minor collision that damages the trunk and the speaker. Not wanting to pay out of pocket, John remembers he has insurance for damages to his car. When he calls his insurer, however, the insurer disputes the claim, claiming that the damage he experienced is uncovered."
Vehicle Damage III ,unambiguous_uncovered,"Steve’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Steve is about to head out to work for the day. He places his laptop on the roof of the car and returns inside his house to grab a few more items. As he backs out of the driveway, he forgets to put his laptop back into the car, which causes the laptop to fall off the roof and break. Steve deems the computer to be an accessory on his car. So not wanting to pay out of pocket, Steve remembers he has insurance for damages to his car. However, when he calls his insurer, the insurer refuses to cover the cost of the laptop."
Vehicle Damage III ,unambigous_covered,"Steve’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” "," Steve is about to head out to work for the day. When he starts his car, he adjusts his mirrors and buckles his seat belt. As he backs out of the driveway, he collides into a garbage truck. The airbags deploy and Steve is fortunately unharmed. Steve’s car, however, is totaled. Not wanting to pay out of pocket, Steve remembers he has insurance for damages to his car. However, when he calls his insurer, the insurer refuses to cover the cost of a new car."
Vehicle Damage III ,controversial,"Steve’s car insurance policy includes coverage for damage, defined as “for loss or damage to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Steve is about to head out to work for the day. When he tries to start the car, he realizes that has misplaced his key. After looking for the key to no avail, he decides to purchase a new key. Not wanting to pay out of pocket, Steve remembers he has insurance for damages to his car. However, when he calls his insurer, the insurer disputes the claim, claiming that a lost key is uncovered."
Vehicle Fire and Theft II,unambiguous_uncovered,"Gene’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Gene goes to work one day and parks his car in a garage nearby. When he returns to the garage for lunch, Gene finds that he accidentally left a cigarette butt in the ashtray in his car, which has smoldered and caused significant smoke damage. Understanding that he is covered for fire damage, Gene files a claim with his insurance to avoid paying out of pocket for a replacement. However, the insurance company refutes this and denies his claim."
Vehicle Fire and Theft II,unambigous_covered,"Gene’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Gene goes to work one day and parks his car in a garage nearby. When he returns to the garage for lunch, the garage is on fire and his car is severely damaged. Gene files a claim with his insurance since he understands he is covered for fire damages. However, the insurance company refutes this and denies his claim. "
Vehicle Fire and Theft II,controversial,"Gene’s car insurance policy includes coverage for theft and fire, defined as “for loss or damage as a result of theft, attempted theft, fire, lightning or explosion to the policy holder’s car, Accessories, including children’s car seats, while in or on your car, and Audio equipment while in your car.” ","Gene goes to work one day and leaves his mp3 player connected to the car. He goes into the office before returning to the parking lot for lunch. He realizes his car has been stolen, which is evidenced by a police report and surveillance footage. Gene then decides to file a claim with his insurance company, claiming both loss of the car and mp3 player. However, the insurance company denies Gene’s claim of both car and accessory, claiming he is uncovered."
Legal Liability ,unambiguous_uncovered,"Julian has car insurance that covers legal liability to others, defined as the following: “Death or injury to any person. Damage to any other person’s property up to £20,000,000 plus all legal costs and expenses provided the total does not exceed £25,000,000 for any one claim or series of claims arising out of one cause whilst using the vehicle.”"," Julian is commuting to a movie set. He is driving along a residential road just below the speed limit. Suddenly, a cat darts in front of Julian’s vehicle. Julian, trying to save the cat, swerves his vehicle into a fence. The fence is destroyed and no one is hurt. However, Julian is nonetheless at fault. To make matters more complicated, he is driving with an invalid license at the time. When he files a claim, the insurance denies his claim, claiming that he is uncovered in this scenario."
Legal Liability ,unambigous_covered,"Julian has car insurance that covers legal liability to others, defined as the following: “Death or injury to any person. Damage to any other person’s property up to £20,000,000 plus all legal costs and expenses provided the total does not exceed £25,000,000 for any one claim or series of claims arising out of one cause whilst using the vehicle.”","Julian is commuting to a movie set. He is driving along a residential road just below the speed limit. Suddenly, a cat darts in front of Julian’s vehicle. Julian, trying to save the cat, swerves his vehicle into a fence. The fence is destroyed and no one is hurt. However, Julian is nonetheless at fault. When he files a claim, the insurance denies his claim, claiming that he is uncovered in this scenario."
Legal Liability ,controversial,"Julian has car insurance that covers legal liability to others, defined as the following: “Death or injury to any person. Damage to any other person’s property up to £20,000,000 plus all legal costs and expenses provided the total does not exceed £25,000,000 for any one claim or series of claims arising out of one cause whilst using the vehicle.”","Julian is commuting to a movie set. He is driving along a residential road just below the speed limit. Suddenly, a cat darts in front of Julian’s vehicle. Julian, trying to save the cat, swerves his vehicle over a curb and into the side of a small house. No one is injured, however, a police report finds Julian at fault nonetheless. An inquiry finds that Julain’s specific car had a manufacturing defect as well. Julian files a claim with his insurance company. However, they deny his claim,stating that he was not operating the vehicle. "
Storm Damage and Maintenance II ,unambiguous_uncovered,"Cam’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55mph).","One day, a relatively light rainstorm passes through the town where he lives. Cam is in the midst of moving, and decides that a new roof will raise the value of the home. Knowing his insurance covers storm damage, he decides to forcibly damage his skylight. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Cam experienced is uncovered."
Storm Damage and Maintenance II ,unambigous_covered,"Cam’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55mph).","Cam’s home is in optimal condition. A hail storm passes through his town. Winds are relatively light, however, and the hail reaches golf ball proportions. Cam’s skylight is damaged, but his house is relatively unscated. Not wanting to pay out of pocket for the skylight, Cam remembers his insurance policy. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Cam experienced is uncovered."
Storm Damage and Maintenance II ,controversial,"Cam’s home insurance policy includes coverage for storm damage and maintenance damage, defined as “damage caused by a storm.” A storm is defined with: hail of such intensity that it causes damage to hard surfaces or breaks glass, torrential rainfall at a rate of at least 25mm per hour, snow to a depth of at least 12 inches (30cms) in 24 hours, wind speeds with gusts of at least 48 knots (55mph).","Cam’s home is in optimal condition. It's relatively new and he recently had a home inspection to confirm the conditions mentioned in his policy are met. One day, Cam’s town experiences torrential rainfall. The storm initally itself does little to no damage to Cam’s home. However, the storm did damage a large oak tree in Cam’s neighbor’s front yard, which cracks and topples onto Cam’s roof a few days later, destroying his skylight. When he calls his insurer, however, the insurer disputes his claim, claiming that the damage Cam experienced is uncovered."
Window and Windscreen Damage (Vehicle Glass II) ,unambiguous_uncovered,"Aneesh’s car insurance coverage includes “pay to repair or replace broken glass in your car’s windscreen (including panoramic windscreens) or windows, and any scratching to the bodywork caused solely and directly by broken glass from a broken windscreen or window.”","Aneesh drives a convertible Porsche and parks in an outdoor parking lot. While Aneesh is running a few errands in a store, a hail storm occurs and damages several cars, including Aneesh’s. When he inspects the damage, he discovers that the roof glass has been damaged. Thinking that he is covered by insurance, Aneesh files a claim. However, the insurance company denies that claim, stating that they do not cover window damage to convertible roofs."
Window and Windscreen Damage (Vehicle Glass II) ,unambigous_covered,"Aneesh’s car insurance coverage includes “pay to repair or replace broken glass in your car’s windscreen (including panoramic windscreens) or windows, and any scratching to the bodywork caused solely and directly by broken glass from a broken windscreen or window.”","Aneesh drives a convertible Porsche and parks in an outdoor parking lot. While Aneesh is running a few errands in a store, a hail storm occurs and damages several cars, including Aneesh’s. When he inspects the damage, he discovers a broken class from another windscreen has damaged his body work. Thinking that he is covered by insurance, Aneesh files a claim. However, the insurance company denies the claim."
Window and Windscreen Damage (Vehicle Glass II) ,controversial,"Aneesh’s car insurance coverage includes “pay to repair or replace broken glass in your car’s windscreen (including panoramic windscreens) or windows, and any scratching to the bodywork caused solely and directly by broken glass from a broken windscreen or window.”","Aneesh drives a convertible Porsche and parks in an outdoor parking lot. While Aneesh is running a few errands in a store, a hail storm occurs and damages several cars, including Aneesh’s. When he inspects the damage, he discovers that broken glass from the windshield has severely damaged the leather interior of his Porsche. Thinking that his insurance covers damage to the interior caused by broken glass, Aneesh files a claim. However, the insurance company denies the claim stating that it is inconclusive as to what kind of glass caused the damage"
Personal Accident II ,unambiguous_uncovered,"Fred’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”","Fred, unfortunately, suffers from a condition that deteriorates his eyesight in his left eye. Understanding his vision will be gone soon, Fred devises a plan where he will get into a minor accident and file a personal injury claim to gain monetary compensation for his “lost eyesight.” His plan, however, backfires when the insurance company denies his claim after access to his medical records. "
Personal Accident II ,unambigous_covered,"Fred’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”","One morning, Fred is driving behind a semi truck that is transporting gravel. The semi truck loses control and Fred ends up colliding with the truck. The gravel slides out of the truck, crushing Fred’s windshield and spilling into his car. The gravel severely damages his eyes. At the hospital, Fred unfortuantely learns that he has permanently lost his eyesight in his right eye, and has temporary blindness in his left eye. To pay for medical bills and potential loss of his right eye, Fred files a claim with his insurance. However, they deny his claim stating he is uncovered."
Personal Accident II ,controversial,"Fred’s car insurance policy includes coverage for Personal Accident, defined as “You or any other person in your car who is accidentally injured while traveling in or getting into or out of your car, whilst in the United Kingdom and this injury alone results within three calendar months in:1. Death; or 2. Permanent and total loss of sight in one or both eyes; or 3. Loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.”"," Fred is at a supermarket one day picking up some groceries. He has a truck, and tries to step onto the truck bed to load the groceries. Unfortunately, he slips and falls and hits his head, and is temporarily blind in his right eye. At the hospital, they inform him that it is unlikely he will gain full use of his right eye again. To pay for his surgery, he files a claim with his insurance. However, they deny his claim stating he is uncovered. "
Escape of Water II ,unambiguous_uncovered,"Miranda’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.”"," Miranda has a modest home in the mountains. One day, a wildfire breaks out and Miranda’s automatic sprinkler system engages to protect her home. When the fire subsides, Miranda discovers that several of her driveway is flooded due to her sprinkler system. When she calls her insurer, however, the insurer disputes Miranda’s claim, claiming that the damage Miranda experienced does not constitute escape of water."
Escape of Water II ,unambigous_covered,"Miranda’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.”"," Miranda’s home is in optimal condition and a recent plumbing inspection has also confirmed this. One day, a winter storm freezes her pipes, and unfortunately causes a pipe in a bathroom to burst. She needs the damage repaired but does not want to pay out of pocket. When she calls her insurer, however, the insurer disputes Miranda’s claim, claiming that the damage Miranda experienced does not constitute escape of water."
Escape of Water II ,controversial,"Miranda’s homeowner’s insurance policy includes coverage for escape of water damage, defined as “damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe, boiler or faulty appliance.”"," Miranda understands her home is slightly older and there is a deteriorating plumbing issue. One day, however, a pipe above her living room bursts, causing her living room to flood profusely. When she calls her insurer, however, the insurer disputes Miranda’s claim, claiming that the damage Miranda experienced does not constitute an escape of water."
Public Liability Property Damage Settlement Basis ,unambiguous_uncovered,"Dave has insurance that covers “the damages that you are legally liable to pay for accidental loss or damage to third party property, so long as the loss or damage happened during the period of insurance and was connected with your business.” The insurance policy also states ""We may not pay a claim, or reduce the amount, if you failed to take reasonable steps to prevent the loss from happening.""","One day, Dave is exiting the parking lot of a restaurant after having a few beers with his friends. His friends loudly encourage him to take a cab home, and he knows he probably shouldn’t drive. However, Dave decides to drive home anyways, and unfortunately collides with the landscaping around the property. No one is hurt, but Dave is legally responsible for the damage. However, the insurance disputes his claim, stating that Dave’s is responsible and that the accident could have been prevented."
Public Liability Property Damage Settlement Basis ,unambigous_covered,"Dave has insurance that covers “the damages that you are legally liable to pay for accidental loss or damage to third party property, so long as the loss or damage happened during the period of insurance and was connected with your business.” The insurance policy also states ""We may not pay a claim, or reduce the amount, if you failed to take reasonable steps to prevent the loss from happening.""","One day, Dave is exiting the parking lot of a restaurant. Unfortunately, he collides with the landscaping around the property. No one is hurt, but Dave is legally responsible for the damage. Dave decides that he will attempt to use his insurance coverage for the damages. However, the insurance disputes his claim."
