workerid,proliferate.condition,confidence,continuation,dispute,header,individual_judgment,item,population_judgment,slide_number_in_experiment,time,title,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
832,condition1,2,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she exits the store, she spots a car deliberately crashing into parked cars on the adjacent street. As she is getting back into her car to attempt to drive off, the individual collides into Gwen's car, injuring her arm. Gwen files a police report who can attest to the claim. Gwen files a claim with her insurance company for the damages.",False,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",no,Personal Accident,50,3,44775,Personal Accident I,controversial,0,32,Yes,,2,1,Other,English,0,no,White,Firefox,Windows,720,1280,2.3245833333333334,
832,condition1,2,"One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles were chipped and some even developed large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage.",False,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",yes,Hail Damage,90,4,18238,Hail Damage,unambiguous_covered,0,32,Yes,,2,1,Other,English,0,no,White,Firefox,Windows,720,1280,2.3245833333333334,
832,condition1,1,"Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that in an effort to save money, Jett's previous attempt install his own water pipes went awry. Jett files a claim with his insurance company for the damage.",False,"Jett has insurance that covers ""Trace and Access"", defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>",no,Trace and Access,50,5,35327,Trace and Access II,unambiguous_uncovered,0,32,Yes,,2,1,Other,English,0,no,White,Firefox,Windows,720,1280,2.3245833333333334,
956,condition1,3,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.",False,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",yes,Escape of Oil,50,3,38166,Escape of Oil II,controversial,2,35,Yes,No comments.,3,2,Male,English,1,Not at all.,White,Firefox,Windows,1080,1920,2.1929333333333334,
956,condition1,1,"One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles were chipped and some even developed large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage.",False,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",no,Hail Damage,30,4,11968,Hail Damage,unambiguous_covered,2,35,Yes,No comments.,3,2,Male,English,1,Not at all.,White,Firefox,Windows,1080,1920,2.1929333333333334,
956,condition1,0,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry.",False,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",yes,Emergency Damage,60,5,12957,Emergency Damage I,unambiguous_uncovered,2,35,Yes,No comments.,3,2,Male,English,1,Not at all.,White,Firefox,Windows,1080,1920,2.1929333333333334,
838,condition1,2,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",False,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",no,Storm Damage and Maintenance,80,3,24599,Storm Damage and Maintenance II,unambiguous_uncovered,0,54,Yes,"Nothing specific, but thanks for asking for feedback!",4,2,Female,English,0,None,White,Chrome,Windows,864,1536,2.39725,
838,condition1,2,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she is reentering her vehicle, a dodge ram hits her door and injures her hand. Gwen files a claim with her insurance company for the damages.",False,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",yes,Personal Accident,65,4,37761,Personal Accident I,unambiguous_covered,0,54,Yes,"Nothing specific, but thanks for asking for feedback!",4,2,Female,English,0,None,White,Chrome,Windows,864,1536,2.39725,
838,condition1,2,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",False,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",yes,Storm Damage,50,5,15861,Storm Damage and Maintenance II,controversial,0,54,Yes,"Nothing specific, but thanks for asking for feedback!",4,2,Female,English,0,None,White,Chrome,Windows,864,1536,2.39725,
785,condition1,3,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",False,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",no,Storm Damage,50,3,56322,Storm Damage and Maintenance II,controversial,4,62,Yes,,3,2,Male,English,0,None,White,Chrome,Linux,1080,1920,3.3960166666666667,
785,condition1,4,"Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss.",False,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",no,Vehicle Theft,99,4,42798,Vehicle Theft V,unambiguous_uncovered,4,62,Yes,,3,2,Male,English,0,None,White,Chrome,Linux,1080,1920,3.3960166666666667,
785,condition1,4,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.",False,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",yes,Emergency Damage,90,5,34486,Emergency Damage I,unambiguous_covered,4,62,Yes,,3,2,Male,English,0,None,White,Chrome,Linux,1080,1920,3.3960166666666667,
900,condition1,2,"Gwen travels in her SUV to the grocery store. She has a relatively simple drive to the store with no incident. When Gwen is at the store, she gets her items and begins to check out. However, when she exits the store, she spots a car deliberately crashing into parked cars on the adjacent street. As she is getting back into her car to attempt to drive off, the individual collides into Gwen's car, injuring her arm. Gwen files a police report who can attest to the claim. Gwen files a claim with her insurance company for the damages. However, the insurance company denies Gwen's claim, arguing that the damages are not covered.",True,"Gwen's car insurance policy includes coverage for ""Personal Accident,"" defined as <b>""you or any other person in your car who is accidentally injured while traveling in your car, whilst in the United States and this injury alone results within three calendar months in loss of, or permanent and total loss of use of, one or more limbs at or above the elbow or knee.""</b>",yes,Personal Accident,90,3,87000,Personal Accident I,controversial,3,35,Yes,,3,2,Female,English,0,,White,Firefox,Windows,1080,1920,3.5764,
900,condition1,2,"Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. However, the insurance company denies Dillon's claim, arguing that the loss is not covered.",True,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",no,Vehicle Theft,90,4,40873,Vehicle Theft V,unambiguous_uncovered,3,35,Yes,,3,2,Female,English,0,,White,Firefox,Windows,1080,1920,3.5764,
900,condition1,1,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",True,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",no,Escape of Oil,50,5,45755,Escape of Oil II,unambiguous_covered,3,35,Yes,,3,2,Female,English,0,,White,Firefox,Windows,1080,1920,3.5764,
801,condition1,1,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry.",False,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",no,Emergency Damage,80,3,56583,Emergency Damage I,unambiguous_uncovered,0,45,Yes,"I mean, if she ""believed"" the noise was her dogs, why did she call? People can really be ridiculous, sometimes.",4,2,Female,English,0,,White,Chrome,Mac,900,1440,3.2184666666666666,
801,condition1,2,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.",False,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",yes,Escape of Oil,70,4,41796,Escape of Oil II,controversial,0,45,Yes,"I mean, if she ""believed"" the noise was her dogs, why did she call? People can really be ridiculous, sometimes.",4,2,Female,English,0,,White,Chrome,Mac,900,1440,3.2184666666666666,
801,condition1,3,"One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles were chipped and some even developed large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage.",False,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",yes,Hail Damage,95,5,19649,Hail Damage,unambiguous_covered,0,45,Yes,"I mean, if she ""believed"" the noise was her dogs, why did she call? People can really be ridiculous, sometimes.",4,2,Female,English,0,,White,Chrome,Mac,900,1440,3.2184666666666666,
914,condition1,3,"Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. However, the insurance company denies Mariam's claim, arguing that the damage is not covered.",True,"Mariam has insurance that covers home damage from ""Escape of Oil"", defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",yes,Escape of Oil,98,3,49326,Escape of Oil II,unambiguous_covered,6,56,Yes,,1,2,Female,English,0,No problems,White,Chrome,Mac,1440,2560,2.9999666666666664,
914,condition1,2,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",True,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",no,Emergency Damage,72,4,39476,Emergency Damage I,unambiguous_uncovered,6,56,Yes,,1,2,Female,English,0,No problems,White,Chrome,Mac,1440,2560,2.9999666666666664,
914,condition1,3,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",True,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",yes,Storm Damage,88,5,31392,Storm Damage and Maintenance II,controversial,6,56,Yes,,1,2,Female,English,0,No problems,White,Chrome,Mac,1440,2560,2.9999666666666664,
865,condition1,1,"One day, Steve is involved in a minor accident. His GPS navigation system, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage.",False,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>",yes,Vehicle Damage,33,3,40057,Vehicle Damage III,unambiguous_covered,3,28,Yes,,3,2,Male,english,0,,Asian,Chrome,Windows,864,1536,1.8461,
865,condition1,1,"Late one night, Joanne hears noises coming from another room in her home and believes it may be her two dogs playing together. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs,  and Joanne just wants help putting them to bed. Joanne files a claim with her insurance company for the damage caused by the forced entry.",False,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",no,Emergency Damage,70,4,35037,Emergency Damage I,unambiguous_uncovered,3,28,Yes,,3,2,Male,english,0,,Asian,Chrome,Windows,864,1536,1.8461,
865,condition1,1,"One day, a hail storm hits Rick's house and causes damage to his roof's wood shingles. Many shingles were chipped and some even developed small cracks, but the roof is not leaking. Rick files a claim with his insurance company for the damage.",False,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",no,Hail Damage,66,5,15576,Hail Damage,controversial,3,28,Yes,,3,2,Male,english,0,,Asian,Chrome,Windows,864,1536,1.8461,
848,condition1,2,"One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage.",False,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>",no,Vehicle Damage,47,3,63743,Vehicle Damage III,unambiguous_uncovered,4,30,No,,1,1,Male,English,0,none,White,Chrome,Windows,864,1536,2.238066666666666,
848,condition1,4,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",False,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",yes,Storm Damage,97,4,20034,Storm Damage and Maintenance II,unambiguous_covered,4,30,No,,1,1,Male,English,0,none,White,Chrome,Windows,864,1536,2.238066666666666,
848,condition1,3,"Dillon, who has been separated from his wife for over two years, goes to work one day and parks his car in the garage. However, surveillance footage captures his estranged wife breaking into his car and driving away. Dillon files a claim with his insurance company for the loss.",False,"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",yes,Vehicle Theft,88,5,19058,Vehicle Theft V,controversial,4,30,No,,1,1,Male,English,0,none,White,Chrome,Windows,864,1536,2.238066666666666,
787,condition1,2,"Late one night, Joanne hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. However, the insurance company denies Joanne's claim, arguing that the damage is not covered.",True,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>",yes,Emergency Damage,95,3,823526,Emergency Damage I,unambiguous_covered,3,26,Yes,,1,2,Male,English,0,n/a,White,Chrome,Windows,864,1536,15.374916666666667,
787,condition1,3,"One day, a hail storm hits Rick's house and causes damage to the plants on his balcony. Many plants lost leaves and some were completely covered in ice, causing them to die. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",True,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",no,Hail Damage,100,4,23007,Hail Damage,unambiguous_uncovered,3,26,Yes,,1,2,Male,English,0,n/a,White,Chrome,Windows,864,1536,15.374916666666667,
787,condition1,2,"One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. However, the insurance company denies Steve's claim, arguing that the damage is not covered.",True,"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b>",no,Vehicle Damage,70,5,31801,Vehicle Damage III,controversial,3,26,Yes,,1,2,Male,English,0,n/a,White,Chrome,Windows,864,1536,15.374916666666667,
926,condition1,4,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. However, the insurance company denies Cam's claim, arguing that the damage is not covered.",True,"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",yes,Storm Damage,99,3,35429,Storm Damage and Maintenance II,unambiguous_covered,1,38,No,,2,1,Male,English,0,,White,Chrome,Linux,1440,2560,2.4451666666666667,
926,condition1,4,"One day, a hail storm hits Rick's house and causes damage to his roof's wood shingles. Many shingles were chipped and some even developed small cracks, but the roof is not leaking. Rick files a claim with his insurance company for the damage. However, the insurance company denies Rick's claim, arguing that the damage is not covered.",True,"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",yes,Hail Damage,95,4,30202,Hail Damage,controversial,1,38,No,,2,1,Male,English,0,,White,Chrome,Linux,1440,2560,2.4451666666666667,
