item,Title,version,header,continuation,name_gender,notes,locus_of_uncertainty,locus_of_uncertainty_location
Escape of Oil,Escape of Oil II,unambiguous_covered,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.",female,yes fixed heating installation damaged,heating installation ,definition_exh
Escape of Oil,Escape of Oil II,controversial,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.",female ,atypical fixed heating installation,heating installation ,definition_exh
Escape of Water,Escape of Water I,unambiguous_uncovered,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,female,"not sudden or unforseen, caused by the protagonist, ",sudden/unforseen ,definition_exh
Escape of Water,Escape of Water I,unambiguous_covered,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,female,yes sudden/unforseen,sudden/unforseen ,definition_exh
Escape of Water,Escape of Water I,controversial,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,female,unclear if sudden or unforseen,sudden/unforseen ,definition_exh
Escape of Water,Escape of Water II,unambiguous_uncovered,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",female,glass bowl not an appliance,flow of water ,definition_exh
Escape of Water,Escape of Water II,unambiguous_covered,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",female,washing machine definitely an appliance,flow of water ,definition_exh
Escape of Water,Escape of Water II,controversial,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",female,water cooler maybe an appliance,flow of water ,definition_exh
Escape of Water,Escape of Water III,unambiguous_uncovered,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",female,paint definitely not water,internal source ,definition_exh
Escape of Water,Escape of Water III,unambiguous_covered,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub suddenly cracks and begins to leak, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",female,definitely water,internal source ,definition_exh
Escape of Water,Escape of Water III,controversial,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",female,tomato juice maybe not water,internal source ,definition_exh
Fire,Fire,unambiguous_uncovered,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.",female,not naturally occuring,naturally occuring fire,definition_exh
Fire,Fire,unambiguous_covered,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage.",female,yes naturally occuring ,naturally occuring fire,definition_exh
Fire,Fire,controversial,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.",female,maybe naturally occuring ,naturally occuring fire,definition_exh
Flooding,Flood I,unambiguous_uncovered,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.",female,not outside the building,outside the building,definition_exh
Flooding,Flood I,unambiguous_covered,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.",female,definitely outside the building,outside the building,definition_exh
Flooding,Flood I,controversial,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.",female,maybe outside the building,outside the building,definition_exh
Flooding,Flood II,unambiguous_uncovered,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of several years, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.",female,not rapid,rapid build-up,definition_exh
Flooding,Flood II,unambiguous_covered,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.",female,yes rapid,rapid build-up,definition_exh
Flooding,Flood II,controversial,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of about a week, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.",female,maybe rapid,rapid build-up,definition_exh
Garden Plants,Garden Plants I,unambiguous_uncovered,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.",female,no political disturbance ,political disturbance ,definition_exh
Garden Plants,Garden Plants I,unambiguous_covered,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants.",female,yes political disturbance,political disturbance ,definition_exh
Garden Plants,Garden Plants I,controversial,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie is unable to find the fertilizer within driving distance from her home or online. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.",female,maybe political distrubance,political disturbance ,definition_exh
Garden Plants,Garden Plants II,unambiguous_uncovered,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures her neighbor's dog trampling her plants. Margot files a claim with her insurance company for the loss.",female,not malicous people ,malicous people or vandals ,definition_exh
Garden Plants,Garden Plants II,unambiguous_covered,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures masked individuals trampling her plants. Margot files a claim with her insurance company for the loss.",female,yes malicious people or vandals ,malicous people or vandals ,definition_exh
Garden Plants,Garden Plants II,controversial,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures a neighbor's middle school-aged children trampling her plants. Margot files a claim with her insurance company for the loss.",female,maybe malicous people ,malicous people or vandals ,definition_exh
General Damages,General Damages,unambiguous_uncovered,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",male,not reg working conditions,regular working conditions,definition_incl
General Damages,General Damages,unambiguous_covered,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",male,yes reg working conditions,regular working conditions,definition_incl
General Damages,General Damages,controversial,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",male,maybe reg working conditions,regular working conditions,definition_incl
Hot Work,Hot Work I,unambiguous_uncovered,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. As she does so, she smokes a cigarette. Suddenly, she drops the lit cigarette onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",female,no flammable/combustable,requires / uses / produces,definition_exh
Hot Work,Hot Work I,unambiguous_covered,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses a welding tool which produces a sizable flame. Suddenly, she drops the tool onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",female,yes flammable combustable ,requires / uses / produces,definition_exh
Hot Work,Hot Work I,controversial,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses an air compressor powered by a gasoline engine. Suddenly, the compressor's engine overheats, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",female,maybe flammable combustable ,requires / uses / produces,definition_exh
Hot Work,Hot Work II,unambiguous_uncovered,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which severely warps the table's surface. Martha files a claim with her insurance company for the damage.",female,no flammable/combustable,flammable or combustable materials,definition_exh
Hot Work,Hot Work II,unambiguous_covered,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the table to catch fire. Martha files a claim with her insurance company for the damage.",female,yes flammable combustable ,flammable or combustable materials,definition_exh
Hot Work,Hot Work II,controversial,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the surface of the table to burn but not catch fire. Martha files a claim with her insurance company for the damage.",female,maybe flammable combustable ,flammable or combustable materials,definition_exh
House Removal,House Removal I,unambiguous_uncovered,"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings. ",female,no professional,professional movers,definition_exh
House Removal,House Removal I,unambiguous_covered,"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.  ",female,yes professional,professional movers ,definition_exh
House Removal,House Removal I,controversial,"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",female,maybe professional ,professional movers,definition_exh
House Removal,House Removal II,unambiguous_uncovered,"Harper's insurance covers damage from ""House Removal,"" which includes <b>""damage to belongings that occurs while being stored by professional removal contractors.""</b>","Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks her cousin Bill to store some of her belongings at his house. A couple days before she is set to move in, Bill's house floods, which ruins the items that Bill was storing for Harper. Harper files a claim with her insurance company for the damage to her belongings.",female,no professional,professional movers,definition_incl
House Removal,House Removal II,unambiguous_covered,"Harper's insurance covers damage from ""House Removal,"" which includes <b>""damage to belongings that occurs while being stored by professional removal contractors.""</b>","Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks a professional moving company to store some of her belongings at the company warehouse. A couple days before she is set to move in, the warehouse floods, which ruins the items that the movers were storing for Harper. Harper files a claim with her insurance company for the damage to her belongings.",female,yes professional,professional movers ,definition_incl
House Removal,House Removal II,controversial,"Harper's insurance covers damage from ""House Removal,"" which includes <b>""damage to belongings that occurs while being stored by professional removal contractors.""</b>","Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks her cousin Bill -- who owns a moving company -- to store some of her belongings in his personal office. A couple days before she is set to move in, Bill's office floods, which ruins the items that Bill was storing for Harper. Harper files a claim with her insurance company for the damage to her belongings.",female,maybe professional ,professional movers,definition_incl
Identity Theft,Identity Theft I,unambiguous_uncovered,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate the computer network at Jason's car dealership. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",male,yes connected,connected with business,exclusion
Identity Theft,Identity Theft I,unambiguous_covered,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",male,no not connected,connected with business,exclusion
Identity Theft,Identity Theft I,controversial,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's work laptop via his home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",male,maybe connected,connected with business,exclusion
Identity Theft,Identity Theft II,unambiguous_uncovered,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network at Jack's office. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",male,yes connected,connected with occupation,exclusion
Identity Theft,Identity Theft II,unambiguous_covered,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate Jack's home WiFi network. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",male,no not connected,connected with occupation,exclusion
Identity Theft,Identity Theft II,controversial,"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network of an upscale restaurant where Jack and his colleagues frequently conduct meetings. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",male,maybe connected,connected with occupation,exclusion
Loss and Accidental Damage,Loss and Accidental Damage,unambiguous_uncovered,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to permanently move abroad, but she keeps the deed to her house so that her children can inherit it one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",female,no temp removed ,temporarily removed,exclusion
Loss and Accidental Damage,Loss and Accidental Damage,unambiguous_covered,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to take a vacation abroad, and her house is completely vacant while she's away. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",female,yes temp removed,temporarily removed,exclusion
Loss and Accidental Damage,Loss and Accidental Damage,controversial,"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to move abroad, but she keeps the deed to her house because she intends to move back one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",female,maybe temp removed,temporarily removed,exclusion
Loss or Damage to a Goods Carrying Vehicle,Goods Carrying Vehicle: Loss or Damage to Vehicle,unambiguous_uncovered,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter realizes he has lost the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",male,not theft,key theft ,definition_incl
