workerid,proliferate.condition,confidence,continuation,header,individual_judgment,item,population_judgment,slide_number_in_experiment,time,title,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1286,condition1,3,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage. ","Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>",no,Vehicle Glass,95,5,25580,Vehicle Glass II,unambiguous_uncovered,-1,43,Yes,,3,1,Male,English,0,no,Asian,Chrome,Windows,1027,1920,2.208283333333333,
1643,condition1,4,"Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the table to catch fire. Martha files a claim with her insurance company for the damage.","Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ",yes,Hot Work,100,3,85741,Hot Work II,unambiguous_covered,4,50,Yes,was fun,3,2,Male,english,0,no,White,Chrome,Windows,768,1366,4.45205,
1643,condition1,4,"Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.","Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>",yes,Garden Plants,100,4,73533,Garden Plants I,unambiguous_uncovered,4,50,Yes,was fun,3,2,Male,english,0,no,White,Chrome,Windows,768,1366,4.45205,
1643,condition1,4,"Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes have cracked over time due to long-term wear, an issue which could have been resolved by the previous inspector. Jett files a claim with his insurance company for the damage. . ","Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>",yes,Trace and Access,100,5,43393,Trace and Access II,controversial,4,50,Yes,was fun,3,2,Male,english,0,no,White,Chrome,Windows,768,1366,4.45205,
1782,condition1,2,"One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages. ","Gwen's car insurance policy includes coverage for damages stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in your car.""</b>",yes,Personal Accident,50,3,49773,Personal Accident I,controversial,0,36,Yes,,1,1,Female,Englsih,0,no,White,Chrome,Windows,1050,1680,3.16905,
1782,condition1,2,"Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ","Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>",yes,Identity Theft,75,4,48594,Identity Theft I,unambiguous_covered,0,36,Yes,,1,1,Female,Englsih,0,no,White,Chrome,Windows,1050,1680,3.16905,
1782,condition1,3,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.","Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ",yes,Fire,100,5,35887,Fire,unambiguous_uncovered,0,36,Yes,,1,1,Female,Englsih,0,no,White,Chrome,Windows,1050,1680,3.16905,
1956,condition1,2,"Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate Jack's home WiFi network. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ","Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>",yes,Identity Theft,80,3,52096,Identity Theft II,unambiguous_covered,1,53,Yes,no comments,3,1,Female,English,0,no problems,White,Safari,Mac,800,1280,3.65705,
1956,condition1,2,"One day, a hail storm hits Rick's house and causes damage to his skylight window. The window is chipped, but the roof is not leaking. Rick files a claim with his insurance company for the damage. ","Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>",yes,Hail Damage,75,4,48985,Hail Damage,controversial,1,53,Yes,no comments,3,1,Female,English,0,no problems,White,Safari,Mac,800,1280,3.65705,
1956,condition1,3,"Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to daily physical therapy for three months. Penelope commits to the recovery program and completely recovers. She then files a claim with her insurance company for three months' worth of lost income.","Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>",no,Personal Accidents,90,5,52867,Personal Accident II,unambiguous_uncovered,1,53,Yes,no comments,3,1,Female,English,0,no problems,White,Safari,Mac,800,1280,3.65705,
1064,condition1,2,"Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.","Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",yes,Flooding,75,3,45920,Flood I,unambiguous_covered,1,26,Yes,,3,2,Female,English,0,,White,Chrome,Windows,960,1440,3.9505166666666662,
1064,condition1,2,"James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that the car seat has been stolen. James files a claim with his insurance company for the loss. ","James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>",no,Vehicle Damage,65,4,37591,Vehicle Damage V,unambiguous_uncovered,1,26,Yes,,3,2,Female,English,0,,White,Chrome,Windows,960,1440,3.9505166666666662,
1064,condition1,2,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ","Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",yes,Storm Damage,60,5,113492,Storm Damage,controversial,1,26,Yes,,3,2,Female,English,0,,White,Chrome,Windows,960,1440,3.9505166666666662,
1522,condition1,4,"One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",no,Vehicle Fire,90,3,42049,Vehicle Fire III,unambiguous_uncovered,4,34,Yes,,3,2,Female,English,0,,White,Chrome,Windows,1080,1920,2.38465,
1522,condition1,3,"Dillon, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures an unfamiliar man breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ","Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>",no,Vehicle Theft,50,4,35937,Vehicle Theft V,unambiguous_covered,4,34,Yes,,3,2,Female,English,0,,White,Chrome,Windows,1080,1920,2.38465,
1522,condition1,4,"Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.","Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>",yes,Flooding,100,5,19576,Flood I,controversial,4,34,Yes,,3,2,Female,English,0,,White,Chrome,Windows,1080,1920,2.38465,
1955,condition1,4,"One day, Clint hears a loud crash in his house and finds that his roof has partly caved in due to water damage. Clint files a claim with his insurance company for the damage. ","Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",no,Ground Heave,80,3,37717,Ground Heave II,unambiguous_uncovered,2,26,Yes,,2,2,Male,English,0,No.,White,Chrome,Mac,768,1366,2.394316666666666,
1955,condition1,4,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage. ","Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>",yes,Vehicle Fire,100,4,21783,Vehicle Fire III,unambiguous_covered,2,26,Yes,,2,2,Male,English,0,No.,White,Chrome,Mac,768,1366,2.394316666666666,
1955,condition1,0,"James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. James forgets about the car seat and begins to drive away with it still on his car. Shortly thereafter, he gets into an accident. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. ","James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>",cantdecide,Vehicle Damage,50,5,40085,Vehicle Damage V,controversial,2,26,Yes,,2,2,Male,English,0,No.,White,Chrome,Mac,768,1366,2.394316666666666,
1367,condition1,4,"Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will never regain functionality in her left knee, even with daily physical therapy. Penelope undergoes several months of physical therapy, but her knee makes no recovery. She then files a claim with her insurance company for three months' worth of lost income.","Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>",yes,Personal Accidents,80,3,210568,Personal Accident II,unambiguous_covered,0,52,Yes,,2,1,Male,English,0,none,White,Firefox,Windows,900,1600,6.3422833333333335,
1367,condition1,0,"One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ","Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ",cantdecide,Vehicle Damage,50,4,34193,Vehicle Damage III,controversial,0,52,Yes,,2,1,Male,English,0,none,White,Firefox,Windows,900,1600,6.3422833333333335,
1367,condition1,2,"Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which severely warps the table's surface. Martha files a claim with her insurance company for the damage.","Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ",yes,Hot Work,50,5,70104,Hot Work II,unambiguous_uncovered,0,52,Yes,,2,1,Male,English,0,none,White,Firefox,Windows,900,1600,6.3422833333333335,
1633,condition1,0,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.","Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ",no,Fire,6,3,29555,Fire,unambiguous_uncovered,1,30,Yes,,1,1,Male,English,0,Nope!,White,Chrome,Windows,1080,1920,2.0911,
1633,condition1,0,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",yes,Escape of Oil,90,4,29617,Escape of Oil II,controversial,1,30,Yes,,1,1,Male,English,0,Nope!,White,Chrome,Windows,1080,1920,2.0911,
1633,condition1,0,"Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.","Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>",yes,Flooding,99,5,23507,Flood II,unambiguous_covered,1,30,Yes,,1,1,Male,English,0,Nope!,White,Chrome,Windows,1080,1920,2.0911,
1217,condition1,1,"Ahmad drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers the baseball on his windshield, which has been shattered beyond repair. Ahmad files a claim with his insurance company for the damage.","Ahmad's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass in the car's windows or windshield.""</b>",yes,Vehicle Glass,60,3,25445,Vehicle Glass I,unambiguous_covered,0,27,Yes,,3,2,Female,English,0,No,White,Chrome,Mac,900,1440,2.4582,
1217,condition1,0,"Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.","Salma's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>",cantdecide,Emergency Damages,20,4,26412,Emergency Damages II,unambiguous_uncovered,0,27,Yes,,3,2,Female,English,0,No,White,Chrome,Mac,900,1440,2.4582,
1217,condition1,1,"One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to a portable Bluetooth speaker that Gene left next to the phone. Gene files a claim with his insurance company for the loss. ","Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>",yes,Vehicle Fire,50,5,29646,Vehicle Fire II,controversial,0,27,Yes,,3,2,Female,English,0,No,White,Chrome,Mac,900,1440,2.4582,
1871,condition1,2,"Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ","Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>",yes,Identity Theft,35,3,79128,Identity Theft I,unambiguous_covered,5,48,Yes,odd,2,1,Female,English,0,no,White,Chrome,Windows,768,1366,8.281566666666667,
1871,condition1,3,"Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which severely warps the table's surface. Martha files a claim with her insurance company for the damage.","Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ",cantdecide,Hot Work,40,4,304054,Hot Work II,unambiguous_uncovered,5,48,Yes,odd,2,1,Female,English,0,no,White,Chrome,Windows,768,1366,8.281566666666667,
1871,condition1,3,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",no,Escape of Oil,65,5,53320,Escape of Oil II,controversial,5,48,Yes,odd,2,1,Female,English,0,no,White,Chrome,Windows,768,1366,8.281566666666667,
1590,condition1,2,"Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the table to catch fire. Martha files a claim with her insurance company for the damage.","Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ",yes,Hot Work,40,3,62600,Hot Work II,unambiguous_covered,2,25,Yes,,3,1,Male,Chinese,0,,Asian,Chrome,Windows,864,1536,2.96605,
1590,condition1,2,"One day, Clint hears a loud crash in his house and finds that a large tree has fallen on his roof, causing significant damage. Clint files a claim with his insurance company for the damage. ","Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>",no,Ground Heave,50,4,44687,Ground Heave II,controversial,2,25,Yes,,3,1,Male,Chinese,0,,Asian,Chrome,Windows,864,1536,2.96605,
1590,condition1,2,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ","Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>",no,Storm Damage,30,5,29740,Storm Damage,unambiguous_uncovered,2,25,Yes,,3,1,Male,Chinese,0,,Asian,Chrome,Windows,864,1536,2.96605,
1176,condition1,3,"Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage.","Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ",yes,Fire,76,3,28751,Fire,unambiguous_covered,4,29,Yes,,3,1,Male,English,0,,White,Chrome,Windows,864,1536,2.1379333333333332,
1176,condition1,2,"One day, Gene parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. Gene notices and manages to extinguish the fire before it totals the car, but not before the fire spreads to a portable Bluetooth speaker that Gene left next to the phone. Gene files a claim with his insurance company for the loss. ","Gene's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>loss or damage as a result of fire to the policy holder's car or audio equipment (while in or on the car).""</b>",no,Vehicle Fire,64,4,25132,Vehicle Fire II,controversial,4,29,Yes,,3,1,Male,English,0,,White,Chrome,Windows,864,1536,2.1379333333333332,
1176,condition1,3,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>",no,Escape of Oil,67,5,18744,Escape of Oil II,unambiguous_uncovered,4,29,Yes,,3,1,Male,English,0,,White,Chrome,Windows,864,1536,2.1379333333333332,
